,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,name,retweet_count,text,tweet_created,tweet_location,user_timezone
345,568532221180534784,negative,0.6558,Late Flight,0.6558,Virgin America,bonniecamp,1,"@VirginAmerica spending my birthday night with you, DAL-DCA. Get me home!",2015-02-19 22:06:59,,
10698,568966330315091968,negative,1.0,Late Flight,1.0,US Airways,RTriplette,0,@USAirways flight #3797 treatment of passengers has been atrocious - over 2 hours delay only to now deplane and given no direction,2015-02-21 02:51:58,DC - SF - NC - MA,
3718,568170840174538752,negative,1.0,Customer Service Issue,0.6752,United,qlyss8,0,"“@united: @qlyss8 We don't want our customers to be frustrated. Thank you for your patience. ^JT” A lovely sentiment, but not a $180 one.",2015-02-18 22:10:59,"Texas, USA",Mountain Time (US & Canada)
840,570055898367799296,negative,1.0,Cancelled Flight,0.3417,United,kimberlytwaters,0,@united I'm very frustrated and have wasted 2 days now due to your equipment failures.,2015-02-24 03:01:31,Gainesville GA,Atlantic Time (Canada)
3764,568144589162287105,negative,1.0,Customer Service Issue,0.3471,United,JeffPfeifer,0,@united What's up with the reduction in E+ on 737-900s? 1K who can no longer confirm E+.  Forget upgrades - just want legroom. #unitedfail,2015-02-18 20:26:40,"Denver, CO",Mountain Time (US & Canada)
5864,568538599903244290,negative,1.0,Customer Service Issue,0.368,Southwest,_troyjohnson,1,@SouthwestAir My 11AM was canned. I empathize. But I think your Team has lost the right to be capitalized. It's a lowercase team day.,2015-02-19 22:32:19,San Diego,Pacific Time (US & Canada)
3156,568627869225766912,negative,0.6687,Late Flight,0.6687,United,Sandarella03,0,"@united nice 2 see U have a sense of humor. #3hourdelay Just want 2 B home but I'll settle for that beer. Once safely in the air, of course",2015-02-20 04:27:03,"St. Louis, MO",Central Time (US & Canada)
8202,568612181480243200,positive,1.0,,,Delta,ClassyMalick,0,@JetBlue thank you very very much!! 💙💙,2015-02-20 03:24:43,NY,
358,568491256508231680,positive,1.0,,,Virgin America,alexster4324,0,"@VirginAmerica just promoting the product is all, had a problem with southwest and recommend noneother than the best! http://t.co/tFaNXBh1Cf",2015-02-19 19:24:12,,
12210,570262528539779073,neutral,0.6786,,,American,BriannAtl35,0,@AmericanAir hook me up with a free trip to Barbados and I will tell you the secret beaches to see,2015-02-24 16:42:36,JAWJA,Central Time (US & Canada)
10479,569263496560422912,positive,1.0,,,US Airways,Punkasswill,0,@USAirways i hope i get the opportunity to join the team with this job opening!,2015-02-21 22:32:48,Nwps  CA.,Alaska
7124,569928989231353857,positive,1.0,,,Delta,kimmeabreak24,0,"@JetBlue I love flying with u, but I have a question, why is one of ur planes called ny jets",2015-02-23 18:37:14,"south gate, california",Pacific Time (US & Canada)
4965,569598614235942912,negative,1.0,Late Flight,1.0,Southwest,BattleB_studios,0,@SouthwestAir our flight is delayed till tomorrow curse the weather,2015-02-22 20:44:26,,
13483,569851972645466112,negative,1.0,Cancelled Flight,0.6709,American,sindhurella67,0,"@AmericanAir My flight 1108 was Cancelled Flightled. I need to be rebooked, and I can't do it online and they aren't answering calls. Help!",2015-02-23 13:31:12,,Eastern Time (US & Canada)
1980,569495111337275392,positive,1.0,,,United,DaRenton,0,@united I am - thank you!,2015-02-22 13:53:09,Colorado,Mountain Time (US & Canada)
13143,569930733512491008,negative,1.0,Can't Tell,1.0,American,WorstThingsBot,0,@AmericanAir really,2015-02-23 18:44:10,,
8038,568846033997803520,positive,1.0,,,Delta,SMHillman,0,@JetBlue Of course U know I would like 2 lay you down in a #BedofRoses as long as they're #mint colored! https://t.co/3QYEzHjGsb #brandmance,2015-02-20 18:53:57,"New York, NY",Eastern Time (US & Canada)
